abbreviation,full_name,smiles_pubchem,smiles_opsin,smiles_cactus,smiles_final,doi
"3,4'-ODPA;a-ODPA","3,4'-oxydiphthalic anhydride",C1=CC2=C(C(=C1)OC3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,O=C1OC(=O)c2cc(Oc3cccc4c3C(=O)OC4=O)ccc21,photopolymer.28.191
DDE,"4,4'-Diaminodiphenylether",C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl,nan,nan,nan,photopolymer.28.191
monomer 1,"Photosensitive o-nitrobenzyl group-containing diamine monomer 1;di(o-nitrobenzyl) 5,5'-methylenebis(2-aminobenzoate)",nan,C(C=1C=CC(=C(C(=O)OCC2=C(C=CC=C2)[N+](=O)[O-])C1)N)C=1C=CC(=C(C(=O)OCC2=C(C=CC=C2)[N+](=O)[O-])C1)N,nan,Nc1ccc(Cc2ccc(N)c(C(=O)OCc3ccccc3[N+](=O)[O-])c2)cc1C(=O)OCc1ccccc1[N+](=O)[O-],photopolymer.28.201
PDA,Pyromellitic dianhydride,nan,nan,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,nan,photopolymer.28.201
6FDA,"4,4'-(hexafluoroisopropylidene)diphthalic anhydride",C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,nan,nan,nan,photopolymer.28.201
BTDA,"3,3',4,4'-benzophenone tetracarboxylic dianhydride",C1=CC2=C(C=C1C(=O)C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,nan,photopolymer.28.201
CPDA;PCDA,"1,2,3,4-cyclopentane tetracarboxylic dianhydride",C1=CC(=C(C(=C1)F)CC(=O)NC2=NC=CC(=C2)OCC3=CC=C(C=C3)Cl)F,nan,nan,nan,photopolymer.28.201
CpODA,"Norbornane-2-spiro-α-cyclopentanone-α.'-spiro- 2""-norbornane-5,5"",6,6""-tetracarboxylic dianhydride;cyclopentanone bis-spironorbornanetetracarboxylic dianhydride;alicyclic tetracrboxylic dianhydride having cyclopentanone bis-spironorbornane structure",C1CC2(CC3CC2C4C3C(=O)OC4=O)C(=O)C15CC6CC5C7C6C(=O)OC7=O,nan,nan,O=C1OC(=O)C2C1C1CC2C2(CCC3(CC4CC3C3C(=O)OC(=O)C43)C2=O)C1,photopolymer.29.237
m-Tol,"2,2'-Dimethyl-1,1'-biphenyl-4,4'-diamine",nan,CC1=C(C=CC(=C1)N)C1=C(C=C(C=C1)N)C,nan,Cc1cc(N)ccc1-c1ccc(N)cc1C,photopolymer.29.237
"4,4'-DDE","4,4'-Diaminodiphenyl ether",C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,nan,nan,Nc1ccc(Oc2ccc(N)cc2)cc1,photopolymer.29.237
ODA,"4,4'-oxydianiline",C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,O(C1=CC=C(N)C=C1)C1=CC=C(N)C=C1,nan,Nc1ccc(Oc2ccc(N)cc2)cc1,photopolymer.29.31
